AwardNumber,Program(s),PrincipalInvestigator,Title,StartDate,Abstract
8902125,ARTIFICIAL INTELL & COGNIT SCI,Fred Roberts,Limitations on Problem Solving Imposed by Measurements,8/15/89,"In solving decisionmaking problems , both human and artificial decisionmakers use scales of measurement based on subject judgements to choose among alternative courses of action or to select optimal strategies . With this in mind , the investigator is attempting to understand in a systematic way the limitations that properties of scales of measurement place on the conclusions one may meaningfully draw using such scales . He is studying such limitations for conclusions from the solutions to problems of optimization , from averaging or merging techniques to combine individual judgements , from relative scores used to choose among alternative technologies or alternative heuristics , and from models used for solving practical problems involving resources allocation , communications , transportation , technology assessment , etc . An important aspect of the work concerns the implications of these limitations for the use of scales of measurement in problem solving by human or artificial problem solvers . The investigator will attempt to develop the theory of meaningful statements and to study various theoretical questions about the theory of scales of measurement which underly its use in the analysis of practical decisionmaking problems ."
8715623,INFORMATION & KNOWLEDGE MANAGE,William Thompson,Knowledge-Based Justification,7/1/88,"An expert system is designed to solve hard problems usually requiring considerable expertise . Users are more likely to accept such a system if they can ask for and receive explanations of the system 's conclusion . Our contention is that improved explanations can be generated by a knowledge-based explanation system ( loosely coupled to the expert system ) that actively searches for support of the expert system 's conclusion . Current methods of explanation derive their informtion almost entirely from a trace of the rules used during the expert system 's problem-solving process . Additional information , when present at all , is introduced through justifications of these rules . We propose to build a system that treats the generation of explanations as a problem-solving activity largely distinct from the processes initially used to solve a problem . This system will move expert system explanation from a passive ( unintelligent ) task of presenting rule traces to an active ( intelligent ) task of searching for explanations in support of the conclusion of the problem-solving expert system . At the center of our knowledge-based explanation techniques ( the knowledge of how to explain ) . This knowledge will influence not only the way information is presented to the user , but also what information is presented tothe user . With this ability to determine both the content and form of the explanation , our system will have increased flexibility over previous explanation systems . This increased flexibility will be used to support the creation of explanations that more naturally support the expert system 's conclusion ."
8718975,ROBOTICS,Drew McDermott,Theory of Learning Algorithms,5/15/88,"This research deals with the theoretical investigation of learning algorithms that use examples and additional information from a teacher . It is motivated by the problem of knowledge acquisition in expert systems . The additional information considered includes queries to the teacher and training sequences devised by the teacher , that is , examples of similar or related phenomena intended to guide and simplify the learning process . The extension of the `` probably approximately correct '' concept to learning from positive-only examples , and the study of its relation to pseudo-random number generators are also proposed ."
8710836,"ROBOTICS, CROSS-DIRECTORATE PROGRAMS",Viktor Prasanna,Parallel Processing of Computer Vision Problems ( Computer and Information Science ),6/1/87,"Parallel Processing has been widely used in image processing . A number of parallel architectures such as cellular arrays , memory augmented arrays , and pyramids have been proposed for these tasks . In the past , many problems in low- and medium- level vision have been solved on these architectures . This research will explore parallel architectures for a range of problems in computer vision and develop efficient parallel algorithms for them . As part of the research , several novel VLSI arrays including arrays with efficient global communication features , arrays with reduced processing requirements , as well as reconfigurable VLSI arrays will be developed . While these architectures are also suitable for many other problems , they seem to be particularly well-suited for vision applications due to inherent properties of problems in low-level vision . This research will also investigate parallel algorithms for medium-and high-level vision problems . Finally , the use of information theoretic techniques to study the interprocessor communication requirements and inherent parallel complexity of solving several fundamental problems in vision will be investigated ."
8804374,CROSS-DIRECTORATE PROGRAMS,Terry Long,"Undergraduate Research , Development , and Engineering Experiences With Computer and Information Systems for Advanced Technology",7/1/88,"This is an award resulting from a submission in response to Program Announcement NSF 87-63 , Research Experience for Undergraduates , 1987 . Under this award The University of Alabama will provide nineteen undergraduate students with training and support while they participate in ongoing research projects in the University 's Resident Research Program . The award recognizes the importance of hands-on experience in active research for training undergraduates for careers in mathematics , science and engineering , and that too few such experiences are now available . The University recruited some of the students from other institutions , in order to broaden the base for attracting students to scientific careers ."
8804830,CROSS-DIRECTORATE PROGRAMS,Daniel Hays,Knowledge Organization for Machine Systems-Proposal for a Second Summer REU Program,6/1/88,"This is an award resulting from a submission in response to Program Announcement NSF 87-63 , Research Experience for Undergraduates , 1987 . Under this award The University of Alabama will provide ten undergraduate students with training and support while they participate in ongoing research projects in the University 's Computer Science Department . The award recognizes the importance of hands-on experience in active research for training undergraduates for careers in mathematics , science and engineering , and that too few such experiences are now available . The University recruited some of the students from other institutions , in order to broaden the base for attracting students to scientific careers ."
8908723,SPECIAL PROGRAMS-RESERVE,Martha Harris,Bilateral Exchange on Approaches To Robotics in the US & Japan,6/15/89,"This project is to support a group of U.S. experts to participate in a bilateral exchange with the Japan Society for the Promotion of Science on approaches to robotics research and applications in the two countries . The purpose of this exchange is threefold : ( 1 ) To compare and contrast R & D on generic technologies that include robotics in hazardous environments and in service-related area ; ( 2 ) To stimulate thinking about `` strategic alliance '' between the two countries ; and ( 3 ) To provide an opportunity ( by site visits to Japan ) to observe recent applications of robotics , particularly in unstructured environments . Among the results of this exchange will be a report by the National Research Council and the U.S. Group on their recommendations of potential projects and ways of joint research that can not be easily done by each country alone ."
8817776,"ROBOTICS, CROSS-DIRECTORATE PROGRAMS",Kevin Bowyer,Development of the Aspect Graph Representation for Use in Robot Vision,2/1/89,"This project will develop perspective-based aspect graphs for visual recognition of 3-D objects . Algorithms will be developed to create aspect graphs for planar-faced objects and for curved-surface objects used in CSG solid modeling . Techniques for reducing the complexity of these aspect graphs will also be studied , possibly leading to reduced storage or faster object recognition ."
8900795,CROSS-DIRECTORATE PROGRAMS,Kenneth Birman,Research Experience for Undergraduates,4/1/89,"This is an award resulting from a submission in response to Program Announcement NSF 88-28 , Research Experience for Undergraduates . Under this award Cornell University will provide six undergraduate students with training and support while they participate in ongoing research projects in the University 's Computer Science Department . The award recognizes the importance of hands-on experience in active research for training undergraduates for careers in mathematics , science and engineering , and that too few such experiences are now available . The University recruited most of the students from other institutions , in order to broaden the base for attracting students to scientific careers ."
8907890,ARTIFICIAL INTELL & COGNIT SCI,Dana Nau,Efficient Hierarchial Planning,9/1/89,"Efficient hierarchical planning , based on a task network , is the topic of this research . Goal and subgoal interactions will be investigated to achieve improved control strategies for planning . For example , it should be possible to improve both the quality of the plan and the efficiency of the planning process by developing a control strategy which selects among alternative task reductions in such a way as to avoid harmful interactions while encouraging helpful interactions . The following specific issues are central to this investigation : ( 1 ) how the various properties of interactions can guide the choice among alternative reductions in a task network ; ( 2 ) how to improve the consistency of task network representations , in particular , how to identify situations where a seemingly unresolvable conflict can be resolved at a lower level in the task network ; ( 3 ) how to take advantage of the fact that some planning tasks , while not independent in general , become independent once certain other plannng decisions have been made . The investigators anticipate that completion of the above research topics will result in significantly improved planning in a number of environments . To test this idea , they will implement a planning system incorporating the above ideas , and evaluate its performance on a number of domains ."
