AwardNumber,Program(s),PrincipalInvestigator,Title,StartDate,Abstract
2300205,Info Integration & Informatics,Chen Li,Travel : Request for Student Travel Support for ICDE 2023,6/1/23,"The provided support will enable United States-based students to attend and participate in the 39th IEEE International Conference on Data Engineering ( ICDE 2023 ) . This conference will take place in Anaheim , California , USA from April 3 2023 to April 7 , 2023 . The ICDE 2023 conference is a premier international technical event centered on various aspects of database research and practice . It provides a forum that promotes students and researchers to identify scientific foundations for building large-scale database management systems that can work ever more effectively . Efforts will be made to broaden the participation of underrepresented students and researchers . The conference will thus contribute directly to training the next generation of scientists who are both consumers and developers of technology in database management system design and implementation . The involvement of United States-based students will have a direct impact in creating a highly-qualified workforce that can take on the emerging data science challenges of the future. < br/ > < br/ > Database research profoundly influences many domains of societal importance including health sciences , the field of Internet of Things ( IoT ) , service-oriented computing , real-time business analytics , and social computing . The ICDE 2023 conference provides researchers and practitioners from academia , industry , and government agencies with an excellent opportunity to share their research and experiences on all aspects of data management and analysis at scale . The aims of the conference are multi-fold : ( 1 ) to provide an international forum for sharing research results addressing major challenges in next-generation database research ; ( 2 ) to stimulate interactive discussions on research in the database area through panels , posters , tutorials , and student scholar roundtables ; and ( 3 ) to motivate and engage future generations of researchers via the many conference and workshop presentations , interactive poster sessions , and panel and breakout sessions. < br/ > < br/ > This award reflects NSF 's statutory mission and has been deemed worthy of support through evaluation using the Foundation 's intellectual merit and broader impacts review criteria ."
2327708,Cyberlearn & Future Learn Tech,Gautam Biswas,EAGER : Co-Designing a Cognitive Teaching Assistant to Support Evidence-Based Instruction in Open-Ended Learning Environments,7/1/23,"Collaboration is a key ingredient of STEM professions and integrating computing is also crucial to science learning today . Thus , developing educational support technology that helps build a STEM-ready workforce that is equipped to collaborate productively and use computational models and tools effectively has broad ramifications for the future of a STEM workforce in the US . At a time when we are witnessing exponential growth in applications of AI and machine learning , this proposal leverages those advances to develop a novel AI technology-enhanced virtual teacher assistant that acts as a partner to teachers . In collaboration with Metro Nashville Public Schools , the team will work with five middle school science teachers and 200 students to co-design and deploy the virtual teaching assistant . This system provides on-demand feedback to teachers as they engage with their students in an integrated science , computing , and engineering curriculum that focuses on redesigning their schoolyard to minimize water runoff and cost while maximizing accessibility for all . The project will investigate key factors that promote student learning , including teachers ? instructional practices and curricular adaptations , and their interactions with the virtual teaching assistant . Our research will establish the impact of the AI-based teacher assistant on student outcomes and demonstrate how we can leverage today ? s technology-enhanced classrooms for more successful , equitable , and sustainable introduction of real-world , problem-based STEM learning. < br/ > < br/ > This project will adopt a design-based research approach to develop a novel AI technology-enhanced cognitive teacher assistant that aids teachers in noticing , reflecting , and developing of evidence-based pedagogical responses , enriches classroom interactivity , and helps students progress in their learning and problem-solving tasks . We will study how well our technology identifies key classroom interactions , engages teachers in students ? learning and problem solving in a computational modeling-based science curriculum , and establishes its impact on key student outcomes . We will investigate key factors that promote these outcomes , including teachers ? instructional practices and curricular adaptations , and their interactions with the cognitive teaching assistant to support technology-enhanced noticing , reflection , and response practices . Results will be analyzed using traditional quantitative and qualitative methods as well as multi-modal learning analytics to understand how a diverse set of middle school teachers leverage the cognitive teacher assistant technology to orchestrate an open-ended , problem-based learning curriculum in their science classrooms . This work will 1 ) contribute to our understanding of how virtual teacher support agents can augment STEM+C teacher noticing , reflection , and response practices , and 2 ) produce guidelines to help the design of innovative teacher + AI agent partnerships that facilitate STEM+C integration. < br/ > < br/ > This award reflects NSF 's statutory mission and has been deemed worthy of support through evaluation using the Foundation 's intellectual merit and broader impacts review criteria ."
2322823,Info Integration & Informatics,Archana Venkataraman,CAREER : Small Data in a Big World : Balancing Interpretability and Generalizability for Data Integration in Clinical Neuroscience,1/1/23,"Neurological and neuropsychiatric disorders affect millions of people worldwide and carry a staggering societal cost . Despite ongoing efforts , clinicians have a bare-bones understanding of these disorders , and hence , a limited ability to treat them . From an analytics perspective , clinical neuroscience is a field of high-dimensional datasets , small sample sizes , massive patient variability , and most importantly , an arguable lack of ground truth information . These challenges have led to a trade-off between the interpretability of a given model and its generalizability to new data . At one extreme , classical statistics allows us to formulate and test interpretable hypotheses about the brain , but it can not make patient-specific generalizations . At the other extreme , conventional machine learning algorithms are geared towards patient generalizability but rarely illuminate a brain-basis for the prediction . This CAREER program will develop a Coupled Network Optimization ( CNO ) framework that balances the two analytical extremes . The resulting algorithms will reveal interpretable system-level interactions in the brain that can predict the behavioral and cognitive deficits of a given disorder . In parallel , the investigators have formulated a diverse range of educational initiatives to train the next generation of interdisciplinary data scientists. < br/ > < br/ > Mathematically , the CNO framework estimates a low-dimensional network manifold for functional neuroimaging data . The elemental bases of this manifold will correspond to interpretable group-level features , whereas the patient-specific projections will capture predictive information . The technical exploration of this award will unfold in three modular stages , each of which tackles an open challenge in the field . Thrust I will improve the CNO interpretability by imposing a patient-specific graph topology to guide the salient functional interactions . Thrust II will advance the CNO generalizability by introducing nonlinear and nonparametric regression models . Finally , Thrust III will leverage an equivalent Bayesian representation to tackle the challenges of multisite analysis . The CNO framework will be applied to two markedly different application testbeds : a large multi-site repository of neuroimaging , behavioral and genetic data for autism , and a focused clinical trial of functional electrical stimulation for spinal cord injury rehabilitation . Beyond the scientific goals , this award includes a three-pronged educational plan to build strong technical foundations , foster interdisciplinary collaborations through engagement and communication , and finally , motivate young women into the STEM fields . The investigators have outlined a comprehensive schedule of activities , ranging from curriculum development at the high school , undergraduate and graduate levels , to organizing student networking events , to mentoring high school women through the Johns Hopkins Women in Science and Engineering outreach. < br/ > < br/ > This award reflects NSF 's statutory mission and has been deemed worthy of support through evaluation using the Foundation 's intellectual merit and broader impacts review criteria ."
2328619,Robust Intelligence,Florian Willomitzer,CRII : RI : Sub-mm 3D Scanning of Real-World Scenes with Active Multi-View Event Sensing,10/1/22,"This award is funded in whole or in part under the American Rescue Plan Act of 2021 ( Public Law 117-2 ) . < br/ > < br/ > State-of-the-art 3D imaging methods are not able to measure all possible classes of objects at once and still need to be tailored to a specific application . This is one of the main reasons why 3D imaging is still not omnipresent in our society , and still solely trained experts with task-specific equipment are able to capture high-quality 3D models . This project seeks to build a ? one fits all ? system that has the potential to change this . The targeted system enables precise 3D measurements of complicated surfaces/scenes in today ? s billion-dollar industries , such as virtual reality , industrial inspection , autonomous navigation , or medical imaging . Many of these industries routinely run into particularly challenging scenarios for 3D scanning systems . Moreover , a scene-independent and precise 3D sensing system can have many applications . The produced sets of high-quality 3D data can usher the next wave in vision-related artificial intelligence research , leading to algorithms with unprecedented detection quality , prediction accuracy , or navigation precision . Given the current dissimilation of related techniques in all sectors of our modern society , everyone can profit . The project is accompanied by a comprehensive education program incorporating 3D imaging principles in a curriculum for Chicago afterschool programs to introduce at-risk youth to basic concepts in optics , image processing , and electronics. < br/ > < br/ > The focus of this research is to solve a long-standing problem in Computer Vision : high-resolution active 3D scanning of scenes cluttered with objects of mixed specularity and polluted by undesirable light contributions such as ambient illumination or strong inter-reflections . Existing approaches for this challenging task deliver rather sobering results or rely on large training datasets or other extensive prior knowledge , such as the geometry and reflectance of objects in the scene . An easy and flexible solution that delivers high-quality data is of significant interest for researchers in the broader computer vision community . This research distills the past decade ? s research of the investigator and his colleagues . It combines previous experience in active multi-view 3D imaging concepts for different object classes with the novel detection modality of biologically inspired event sensors ( which operate on a fundamentally different principle than conventional sensors ) . By properly facilitating the existing tradeoffs in 3D imaging and event sensing , the team will develop theory , hardware , and algorithms that lead to a fundamentally new type of 3D camera . The developed technique significantly advances the state-of-the-art and our fundamental understanding of limits. < br/ > < br/ > This award reflects NSF 's statutory mission and has been deemed worthy of support through evaluation using the Foundation 's intellectual merit and broader impacts review criteria ."
2303007,IUSE,Steven Cutchin,Using Extended Reality to Close Equity Gaps in Laboratory Training,8/1/23,"Many undergraduates enter college level chemistry classes without prior experience in a chemistry lab , often due to unequal access to laboratory facilities in high school . Since lab experience is an integral component of most traditional chemistry courses , students arriving without this background can be at a disadvantage , creating feelings of anxiety that could lead to a lack of persistence in STEM pathways . This Research on Emerging Technologies for Teaching and Learning ( RETTL ) project will develop immersive XR ( Extended Reality ) and web-based ( non-immersive ) learning experiences for first-year college students taking chemistry lab courses . The technology proposed in this project will provide an effective introduction to the undergraduate chemistry lab that will reinforce their knowledge of chemistry terminology while minimizing anxiety associated with performing experiments for the first time in an unfamiliar and timed setting . Newly designed modules will orient incoming students to the chemistry laboratory and introduce them to experiments that augment the lecture portion of their courses . The purpose of these modules is to supplement and reinforce lab training through an active learning , multi-sensory learning interface . While many studies have focused on Virtual Reality ( VR ) experiences in education , this project specifically examines the emotional and cognitive impacts of Extended Reality interventions on students and aims to improve upon the technology , based on student feedback throughout the project . In addition , as the Covid-19 pandemic highlighted , there is a need to develop virtual educational tools that provide comparable experiences for all students . < br/ > < br/ > This project examines an innovative introduction to the chemistry lab experience by applying the use of virtual reality technology to chemistry education . The study will examine the extent to which VR and XR training modules can prepare students for entry to a chemistry lab course , reinforce conventional lab training , boost knowledge of chemistry literacy , and minimize anxiety associated with performing experiments . The project goal is to deliver transformative experiences through XR technology that will positively impact the ability of undergraduates in first-year chemistry courses to engage with and persist in scientific settings . The project will employ an inclusive design-centered approach to the development of the XR modules , where extensive suggestions from students and other stakeholders will refine and improve the technology. < br/ > < br/ > This award reflects NSF 's statutory mission and has been deemed worthy of support through evaluation using the Foundation 's intellectual merit and broader impacts review criteria ."
2239897,HCC-Human-Centered Computing,Suining He,CAREER : Structural and Accountable Behavior Understandings and Human-centered AI Designs with Naturalistic Micromobility Riding Data,5/1/23,"Micromobility systems are small , lightweight vehicles that usually operate below 15 mph . Examples include regular and electric bicycles , stand-up electric scooters , and 3-wheeled scooters equipped with seats . Understanding how micromobility riders should behave to minimize conflicts with other constituents of urban traffic is essential . Using this understanding in the design of micromobility platforms and their interactions with the rider will improve safety and comfort in urban transportation and enhance public acceptance . Rider behavior is structured , consisting of maneuvers such as acceleration , turns , and dismounts and macroscopic behaviors such as the selection of locations to visit and paths to take . Building structured models of rider behavior is necessary as the existing models are difficult to use for interpreting rider accountability , and whether behaviors are acceptable to the public . To address these challenges , this project proposes to design a novel Structural and Accountable micromobility Rider Behavior Understanding System ( SARBUS ) . SARBUS will provide the micromobility rider behavior modeling through human-centered artificial intelligence . For concrete insights and prototype development , the project will focus on the increasingly popular stand-up electric scooters ( e-scooters ) . The model development will use data from continuous multi-modal sensors collected during real-world riding scenarios . The principal investigator will recruit and train students from under-represented groups in research , and will use the project research to promote teaching and training through student mentoring , new course development , and outreach activities. < br/ > < br/ > This project will be composed of two interleaved modeling thrusts . Thrust A will develop a reinforcement learning technique that interactively learns and captures the rider 's macroscopic location visit and paths ( through GPS logs ) and microscopic maneuvering behaviors ( through accelerometers and gyroscopes ) , as well as their structural inter-dependencies . This thrust will derive a graph representation that will be used by SARBUS to illuminate and explain the riders ' decision-making process . Thrust B will build models from the motion sensor readings of the maneuver behaviors ( accelerometers and gyroscopes ) , recorded ( on-board ) riding videos and the human textual annotations of those videos . These data will capture the interactions of the riders with other road users and the environment . This thrust will quantify the relationships across these modalities through graph learning , and the resulting models will reveal when rider behaviors create conflicts with other traffic elements , and identify rider accountability . The principal investigator will further conduct e-scooter rider case studies with SARBUS to understand how the structural rider behavior modeling and accountability interpretation can together benefit the riders in route selection and riding behavior with enhanced travel efficiency and fewer conflicts. < br/ > < br/ > This award reflects NSF 's statutory mission and has been deemed worthy of support through evaluation using the Foundation 's intellectual merit and broader impacts review criteria ."
2301356,HCC-Human-Centered Computing,Skylar Tibbits,Collaborative Research : HCC : Small : Computational Design and Application of Wearable Haptic Knits,5/15/23,"Social touch is a natural mode of communication between people and better understanding of how to convey social touch mechanistically will result in new forms of communication and increased capabilities of wearable devices that improve human health and quality of life . The importance of social touch is becoming more evident as we increase remote communication through email , text messages and videoconferencing . Prior work has shown that social touch can be replicated through wearable and holdable devices , but current devices are bulky and impractical . This research will combine principles of soft robotics and knit textiles of varying stiffness to design and fabricate a new kind of soft wearable haptic device , in which careful specification of stitch size , placement , and material in a knit sleeve will control the deformation of pneumatic bladders that apply force to the wearer . Project outcomes will advance knowledge in the field of social touch and human perception , and will lay the foundation for a variety of other types of knit-textile-based devices , including soft assistive devices . Additional broad impact will derive from activities designed to broaden participation of underrepresented groups in engineering through lab tours , outreach programs , and mentoring of students from groups that are underrepresented in engineering , and by making project findings available to a wide audience through an open-source materials library. < br/ > < br/ > Current soft wearable devices are bulky and impractical because they need stiff frames to ensure load transmission . The pixel-like control of material properties afforded by multi-material and multi-stitch knit textiles , on the other hand , can redirect force transmission to precise deformation modes efficiently and with a low profile . This project approaches designing , fabricating , and testing knit-enabled wearable devices in three thrusts . The first thrust will model and optimize knits to achieve target load and deformation profiles by using a combination of experimental material characterization and multiscale modeling to harness the full capabilities of the modern knitting process . The second thrust will design , fabricate , and test wearable pneumatic devices , including consideration for donning and doffing , actuator integration and interfacing , and device characterization . The third thrust will implement and test social touch cues using the device with pre-programmed haptic emojis and display of teleoperated social touch queues in real time . Taken together , these thrusts will create new forms of communication and lead to increased capabilities of wearable devices that improve human health and quality of life. < br/ > < br/ > This award reflects NSF 's statutory mission and has been deemed worthy of support through evaluation using the Foundation 's intellectual merit and broader impacts review criteria ."
2324432,HCC-Human-Centered Computing,Bruce Walker,WORKSHOP : ThinkTank ( Doctoral Consortium ) at ICAD 2023,5/15/23,"This is funding to support a `` ThinkTank '' ( workshop ) of ten promising graduate student scholars along with about six distinguished research faculty mentors , in conjunction with the 2023 International Conference on Auditory Display ( ICAD'23 ) , which will be held on June 26-30 at Linköping University in Norrköping , Sweden . ICAD is the premier international forum for presenting research on the use of sound to display data , monitor systems , and provide enhanced user interfaces for computers and virtual reality systems . It is unique in its singular focus on auditory displays and the array of perception , technology , and application areas that this encompasses , which include for example data sonification , auditory wayfinding , auditory graphs , speech interfaces , virtual environments , and associated perceptual , cognitive , technical , and technological research and development . Many of the interdisciplinary research and development efforts are of direct relevance to persons with perceptual disabilities , especially visual impairments . This year 's conference theme is `` Sonification for the Masses '' ; more details about ICAD 2023 are available online at https : //icad2023.icad.org/ . < br/ > < br/ > The ICAD ThinkTank is a doctoral consortium that promotes scholarship and networking among new researchers in this important emerging interdisciplinary area . This full-day workshop will take place on June 26 immediately preceding the conference proper , The event will develop a supportive community of scholars and a spirit of collaborative research , by providing participants with a friendly and open , yet rigorous , scientific forum in which to present their research ideas , to listen to ongoing work from peers , and to receive constructive feedback from a panel of distinguished experts . Panel feedback is designed to help students understand and articulate how their work is positioned relative to related research , whether their topics are adequately focused for thesis research projects , whether their methods are correctly chosen and applied , and whether their results are appropriately analyzed and presented . The ThinkTank will also offer invited speakers and discussion groups ( e.g. , to provide students with relevant information about important issues for doctoral candidates , whether they are considering academic or industrial career paths ) . Student participants will present their work via posters during the conference technical program , and via extended abstracts published on the ICAD 2023 website . Thus , the ThinkTank will help shape ongoing and future research projects that have clear and important implications for development of assistive technologies and universal access . It will bring together students from diverse disciplines ( such as engineering , computing , music , and psychology ) , so that they can experience the broad spectrum of approaches to auditory displays , assistive technologies and universal design . It will afford participants exposure to a larger community , allowing them to bond among themselves and with senior researchers at a critical stage in their professional development . Because the students and faculty constitute a diverse group across a variety of dimensions , including nationality and culture , scientific discipline , and institution , the students ' horizons are broadened to the future benefit of the field . This year , the organizers expect that up to ten U.S.-based ThinkTank Scholars will have their travel and attendance heavily subsidized. < br/ > < br/ > This award reflects NSF 's statutory mission and has been deemed worthy of support through evaluation using the Foundation 's intellectual merit and broader impacts review criteria ."
2312126,Info Integration & Informatics,Zhongming Zhao,"Intelligent Biology and Medicine in 2023 : Advancing Interdisciplinary Education , Collaboration , and Innovation in Data Science and Artificial Intelligence",6/1/23,"The fields of bioinformatics , genomics , systems biology , and intelligent computing have been under rapid growth during the past two decades , thanks to the advances in biotechnologies and computing power . Research in these fields requires interdisciplinary training and collaboration , which is challenging for both students and junior investigators . The International Conference on Intelligent Biology and Medicine ( ICIBM ) was developed in 2012 , with its goal to promote information science , technology , and education to a great variety of trainees and young investigators , including trainees , faculty , teachers , scientists , and engineers , and to provide a forum for the cross-fertilization of ideas and collaboration in these areas . This award provides funding for 20 students and four keynote speakers to attend the International Conference on Intelligent Biology and Medicine ( CBM ) to be held in July 2022 in Tampa , FL . The trainees will participate in several activites including : i ) tutorials and workshops , ii ) poster session , iii ) a 2 hour session with keynote speakers , iii ) networking dinner with keynote speakers and the organizers . The successful completion of ICIBM 2023 will help these trainees and junior investigators learn cutting-edge technologies from distinguished speakers and tutorials and workshops , share their exciting research works , build collaborations , gain advice from other peers , and build better careers in the rapidly evolving data science and artificial intelligence fields . < br/ > < br/ > This award will provide support to develop and provide a series of interdisciplinary , educational and scientific events in ICIBM 2023 , with a specific focus on data science and artificial intelligence . The conference program will include eight distinguished lectures from four keynote speakers and four eminent scholars , four tutorials and workshops , a technology innovation session , a poster presentation session , and an Artificial Intelligence on Big Data : Promise for Early-stage Trainees session . As before , the conference will provide abundant collaborative and interactive opportunities , and encourage educational and interactive initiatives for both junior and established researchers . ICIBM will develop program and events to support the career development of talented trainees and young scientists , including underrepresented minorities , women , and persons with disabilities . The financial support will cover the expenses for 4 keynote speakers , as well as allow the organizers to support 20 trainees to actively participate in all scientific and technical sessions at ICIBM 2023 through travel grants. < br/ > < br/ > This award reflects NSF 's statutory mission and has been deemed worthy of support through evaluation using the Foundation 's intellectual merit and broader impacts review criteria ."
2302659,ITEST-Inov Tech Exp Stu & Teac,Megan Silander,Collaborative Research : Critical Data Stories : Co-Designing Remixing Tools with Teachers to Support Critical Data Literacy with Middle School Youth,7/15/23,"Youth are avid creators and consumers of data-related claims through their participation on social media sites , in which they view , produce , and share content . They remix content , building off one another ? s videos , gifs , and memes to represent and discuss topics they care about . However , participation on these same platforms can result in echo chambers , misinformation , and proliferation of perspectives that are detached from real-world experience . Thus , it is essential to support youth in developing the ability to critique data-related claims through engaging in investigations that consider context holistically , and with empathy for the people involved . This project explores the development of curricula and tools with middle school Math and English teachers that will leverage youth ? s practices with digital media remixing to develop argumentation skills and the critical data literacies necessary to participate in today ? s workforce and as informed citizens . Students will explore sociopolitical issues as they create data stories by synthesizing information across data sources and media . The project will develop curricular resources and tools to support students ? abilities to investigate , critique , communicate and build knowledge with and around data . The project will engage 10 cross-domain teachers in 4 schools across the U.S. through summer workshops and year-round design collaborations ; and up to 30 teachers and 1300 students across the United States through classroom implementations. < br/ > < br/ > The project will develop tools and learning activities , including scaffolding and interaction design , to support integration of youth ? s culturally relevant media practices , criticality in data investigations , and communication through the remixing of preexisting online material . The project will engage middle school math and English teachers in the co-design and implementation of the technology and curricular units as their learners use data and media to investigate and respond to their surrounding sociopolitical systems . A design-based research approach will inform multiple iterations of the technology and curriculum . Researchers will use mixed methods to analyze documentation , participant interviews , classroom observations , and implementation artifacts , to answer three research questions : ( 1 ) What remixing affordances can support students ? critical data-reasoning practices ? , ( 2 ) How can we support the implementation of critical data storytelling tools in diverse classroom contexts ? , and ( 3 ) How do the remixing affordances of the critical data storytelling tools support students in developing and applying critical data-literacy practices ? This project will contribute to an understanding of how technology can connect interdisciplinary learning goals across argumentation and communication to support critical data-reasoning practices. < br/ > < br/ > This award reflects NSF 's statutory mission and has been deemed worthy of support through evaluation using the Foundation 's intellectual merit and broader impacts review criteria ."
